SITUACION LABORAL,RANGO,SEXO,EDAD,DEPARTAMENTO,PROVINCIA,DISTRITO,PROFESION,MARCA,MODELO,PLAZA,COLOR,CARROCERIA,ASIENTOS,USO
INDEPENDIENTE,D,MASCULINO,20,ICA,ICA,ICA,BACHILLER EN CIENCIAS AGRICOLAS,SSANG YONG,ACTYON SPORTS,LIMA,ROJO SCANDAL,PICK UP,,PARTICULAR
INDEPENDIENTE,C,MASCULINO,30,ICA,CHINCHA,ALTO LARAN,BACHILLER EN CIENCIAS AGRICOLAS,RENAULT,CAPTUR,LIMA,ROJO FUEGO,SUV,,
INDEPENDIENTE,C,MASCULINO,20,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,BACHILLER EN CIENCIAS AGRICOLAS,YAMAHA,AG-100,AYACUCHO,ROJO,MOTOCICLETA,,
DEPENDIENTE,,MASCULINO,25,PUNO,AZANGARO,SANTIAGO DE PUPUJA,BACHILLER EN CIENCIAS AGROINDUSTRIALES,SANYA,SY150-6,JULIACA,ROJO,MOTOCICLETA,1,
INDEPENDIENTE,C,MASCULINO,32,PUNO,PUNO,ACORA,BACHILLER EN CIENCIAS AGROINDUSTRIALES,TOYOTA,CORSA AX,AREQUIPA,PLATA,SEDAN,,
INDEPENDIENTE,C,MASCULINO,33,PUNO,PUNO,PUNO,BACHILLER EN CIENCIAS AGROINDUSTRIALES,VOLKSWAGEN,FUSCA,AREQUIPA,AZUL,SEDAN,,
INDEPENDIENTE,,MASCULINO,31,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,BACHILLER EN CIENCIAS AGROINDUSTRIALES,DATSUN,NL-A10-XDL,AREQUIPA,BLANCO,SEDAN,,PARTICULAR
INDEPENDIENTE,,MASCULINO,20,TACNA,TACNA,TACNA,BACHILLER EN CIENCIAS AGROINDUSTRIALES,HYUNDAI,STAREX,LIMA,PLATA GRIS,MULTIPROPOSITO,,PARTICULAR
DEPENDIENTE,E,FEMENINO,20,PASCO,OXAPAMPA,OXAPAMPA,BACHILLER EN CIENCIAS AGRONOMIA,LIFAN,LF150F,LA MERCED,NEGRO,MOTOCICLETA,2,
INDEPENDIENTE,C,MASCULINO,30,HUANUCO,HUANUCO,PILLCO MARCA,BACHILLER EN CIENCIAS AGRONOMIA,HONDA,XR 150L,JUANJUI,NEGRO,MOTOCICLETA,2,PARTICULAR
INDEPENDIENTE,,MASCULINO,20,JUNIN,CHANCHAMAYO,PERENE,BACHILLER EN CIENCIAS AGRONOMIA,HONDA,XR 150L,LIMA,ROJO,MOTOCICLETA,2,PARTICULAR
INDEPENDIENTE,,MASCULINO,20,PASCO,OXAPAMPA,OXAPAMPA,BACHILLER EN CIENCIAS AGRONOMIA,TOYOTA,STARLET SOLEIL,LIMA,BLANCO,HATCHBACK,,PARTICULAR
INDEPENDIENTE,,MASCULINO,20,PASCO,OXAPAMPA,OXAPAMPA,BACHILLER EN CIENCIAS AGRONOMIA,CROSS,AT200GY RADIOM,LA MERCED,AZUL,MOTOCICLETA,2,
INDEPENDIENTE,,MASCULINO,20,JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,BACHILLER EN CIENCIAS AGRONOMIA,HONDA,XR 190L,LA MERCED,ROJO,MOTOCICLETA,,PARTICULAR
DEPENDIENTE,C,MASCULINO,20,LORETO,MAYNAS,IQUITOS,BACHILLER EN CIENCIAS AGRONOMICAS,HONDA,WAVE 110S,TINGO MARIA,NEGRO,MOTOCICLETA,,PARTICULAR
INDEPENDIENTE,C,MASCULINO,20,LORETO,MAYNAS,SAN JUAN BAUTISTA,BACHILLER EN CIENCIAS AGRONOMICAS,HONDA,XR 150L,MAYNAS,BLANCO,MOTOCICLETA,2,
DEPENDIENTE,A,MASCULINO,20,ANCASH,SANTA,CHIMBOTE,BACHILLER EN CIENCIAS AGROPECUARIAS,RTM,RTM125G,PUCALLPA,NEGRO,MOTOCICLETA,,
INDEPENDIENTE,,MASCULINO,24,UCAYALI,CORONEL PORTILLO,YARINACOCHA,BACHILLER EN CIENCIAS AGROPECUARIAS,LIFAN,LF150GY-4,PUCALLPA,AZUL,MOTOCICLETA,,
DEPENDIENTE,C,FEMENINO,25,HUANUCO,LEONCIO PRADO,RUPA-RUPA,BACHILLER EN CIENCIAS AMBIENTALES,HONDA,XR 125L,LIMA,ROJO,MOTOCICLETA,2,
INDEPENDIENTE,C,FEMENINO,20,HUANUCO,LEONCIO PRADO,RUPA-RUPA,BACHILLER EN CIENCIAS AMBIENTALES,HONDA,WAVE NF100,TINGO MARIA,GRIS METALICO,MOTOCICLETA,,
DEPENDIENTE,RURAL,MASCULINO,30,SAN MARTIN,SAN MARTIN,TARAPOTO,BACHILLER EN CIENCIAS BIOLOGICAS,HONDA,POLO 1.6 MEC SEDAN/2004,TARAPOTO,NEGRO,MOTOCICLETA,,
DEPENDIENTE,A,MASCULINO,20,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,BACHILLER EN CIENCIAS BIOLOGICAS,FORD,ESCAPE,LIMA,GRIS,SUV,5,
DEPENDIENTE,B,MASCULINO,30,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS BIOLOGICAS,HONDA,XR 125L,JULIACA,NEGRO,MOTOCICLETA,,
DEPENDIENTE,C,MASCULINO,20,AYACUCHO,HUAMANGA,CARMEN ALTO,BACHILLER EN CIENCIAS BIOLOGICAS,CHEVROLET,TRACKER,LIMA,NEGRO,SUV,5,PARTICULAR
DEPENDIENTE,C,MASCULINO,31,PUNO,PUNO,PUNO,BACHILLER EN CIENCIAS BIOLOGICAS,HYUNDAI,TUCSON,PUNO,CELESTE,SUV,,PARTICULAR
DEPENDIENTE,D,MASCULINO,31,LIMA,LIMA,CARABAYLLO,BACHILLER EN CIENCIAS BIOLOGICAS,JAC,JS8,LIMA,BLANCO,SUV,7,PARTICULAR
DEPENDIENTE,A,FEMENINO,20,LORETO,MAYNAS,IQUITOS,BACHILLER EN CIENCIAS BIOLOGICAS,ASIA,AH110,MAYNAS,ROJO,,,
DEPENDIENTE,C,MASCULINO,20,AREQUIPA,AREQUIPA,SOCABAYA,BACHILLER EN CIENCIAS BIOLOGICAS,TOYOTA,ETIOS,AREQUIPA,GRIS OSCURO METALICO,SEDAN,5,PARTICULAR
DEPENDIENTE,,MASCULINO,20,PUNO,PUNO,PUNO,BACHILLER EN CIENCIAS BIOLOGICAS,VOLKSWAGEN,VIRTUS,JULIACA,GRIS PLATINO,SEDAN,5,
DEPENDIENTE,B,FEMENINO,30,LA LIBERTAD,TRUJILLO,TRUJILLO,BACHILLER EN CIENCIAS BIOLOGICAS,MITSUBISHI,ASX,TRUJILLO,NEGRO,SUV,5,
DEPENDIENTE,,MASCULINO,20,PIURA,PIURA,CATACAOS,BACHILLER EN CIENCIAS BIOLOGICAS,CHEVROLET,KADETT,LIMA,GRIS,SEDAN,,PARTICULAR
INDEPENDIENTE,C,FEMENINO,20,ICA,ICA,ICA,BACHILLER EN CIENCIAS BIOLOGICAS,RENAULT,DUSTER,LIMA,NEGRO NACARADO,SUV,,PARTICULAR
INDEPENDIENTE,C,MASCULINO,20,AYACUCHO,HUAMANGA,AYACUCHO,BACHILLER EN CIENCIAS BIOLOGICAS,SSENDA,SIN MODELO,AYACUCHO,NEGRO,TRIMOTO PASAJEROS,,
INDEPENDIENTE,RURAL,FEMENINO,20,CUSCO,CUSCO,SAN SEBASTIAN,BACHILLER EN CIENCIAS BIOLOGICAS,HYUNDAI,ATOS,CUSCO,ROJO,HATCHBACK,5,PARTICULAR
INDEPENDIENTE,C,MASCULINO,20,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS BIOLOGICAS,BAJAJ,RE AUTORICKSHAW TORITO,LIMA,AZUL,TRIMOTO PASAJEROS,,
INDEPENDIENTE,C,MASCULINO,25,PUNO,PUNO,PUNO,BACHILLER EN CIENCIAS BIOLOGICAS,RENAULT,OROCH,AREQUIPA,BLANCO GLACIAR,PICK UP,5,
INDEPENDIENTE,C,MASCULINO,20,PIURA,PIURA,CASTILLA,BACHILLER EN CIENCIAS BIOLOGICAS,ZONGSHEN,ZII,PIURA,BLANCO,MOTOCICLETA,,PARTICULAR
INDEPENDIENTE,C,FEMENINO,31,CUSCO,CUSCO,SANTIAGO,BACHILLER EN CIENCIAS BIOLOGICAS,GREAT WALL,HOVER CUV,LIMA,PLATA,,,PARTICULAR
INDEPENDIENTE,C,MASCULINO,20,LA LIBERTAD,TRUJILLO,LA ESPERANZA,BACHILLER EN CIENCIAS BIOLOGICAS,TOYOTA,YARIS,TRUJILLO,NEGRO MICA,SEDAN,5,
INDEPENDIENTE,B,FEMENINO,20,AREQUIPA,AREQUIPA,CERRO COLORADO,BACHILLER EN CIENCIAS BIOLOGICAS,VOLKSWAGEN,JETTA,AREQUIPA,BLANCO PURO,SEDAN,5,PARTICULAR
INFORMAL,C,FEMENINO,20,LA LIBERTAD,TRUJILLO,TRUJILLO,BACHILLER EN CIENCIAS BIOLOGICAS,CHANGAN,NEW VAN,CHICLAYO,BEIGE,MULTIPROPOSITO,8,PARTICULAR
DEPENDIENTE,C,MASCULINO,25,LORETO,MAYNAS,SAN JUAN BAUTISTA,BACHILLER EN CIENCIAS BIOLOGICAS CON MENCION EN AC,HONDA,WAVE 110S,MAYNAS,GRIS MATE,MOTOCICLETA,2,
DEPENDIENTE,C,MASCULINO,20,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,BACHILLER EN CIENCIAS CON MENCIO EN INGENIERIA CIV,NISSAN,PRIMERA,LIMA,BLANCO,STATION WAGON,,
DEPENDIENTE,,MASCULINO,20,ANCASH,HUARAZ,HUARAZ,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA CI,MAZDA,CX-30,LIMA,BLANCO PERLA,SUV,5,PARTICULAR
DEPENDIENTE,C,MASCULINO,32,LIMA,LIMA,COMAS,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA CI,HYUNDAI,GRAND i10,LIMA,AZUL,SEDAN,5,
INDEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,CHORRILLOS,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA CI,JEEP,COMPASS LONGITUDE,LIMA,NEGRO,SUV,5,
INDEPENDIENTE,,MASCULINO,20,LA LIBERTAD,TRUJILLO,MOCHE,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA CI,YAMAHA,XTZ125,PIURA,NEGRO,MOTOCICLETA,,
DEPENDIENTE,,MASCULINO,20,LIMA,LIMA,EL AGUSTINO,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA DE,ARTSUN,AS200GS,LIMA,NEGRO,MOTOCICLETA,2,
INFORMAL,B,FEMENINO,20,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA DE,VOLKSWAGEN,CROSSFOX,LIMA,PLATA REFLEX,SUV,5,PARTICULAR
INDEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,ATE,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA EC,MAZDA,MAZDA 3,LIMA,ROJO,HATCHBACK,5,PARTICULAR
DEPENDIENTE,C,MASCULINO,20,LIMA,LIMA,LOS OLIVOS,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA EL,HYUNDAI,ELANTRA,LIMA,PLATA METALIZADO,SEDAN,5,PARTICULAR
DEPENDIENTE,C,MASCULINO,31,LIMA,LIMA,SANTIAGO DE SURCO,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA EL,HONDA,CB125F,LIMA,NEGRO,MOTOCICLETA,,PARTICULAR
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,SAN JUAN DE LURIGANCHO,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA EL,HONDA,GL125E3,PIURA,ROJO,MOTOCICLETA,,
DEPENDIENTE,A,FEMENINO,34,LIMA,LIMA,PUEBLO LIBRE,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA EL,NISSAN,TIIDA,CUSCO,GRIS MAGNETICO,HATCHBACK,5,PARTICULAR
DEPENDIENTE,B,MASCULINO,33,LIMA,LIMA,COMAS,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA EL,KIA,CERATO,LIMA,ROJO FRAMBUESA,SEDAN,5,PARTICULAR
DEPENDIENTE,,MASCULINO,20,LIMA,LIMA,CHORRILLOS,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA EL,SUZUKI,SWIFT,LIMA,AZUL,SEDAN,5,
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,CHORRILLOS,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA EL,MAZDA,CX-3,LIMA,ROJO,SUV,5,PARTICULAR
INDEPENDIENTE,B,MASCULINO,32,LIMA,LIMA,SAN MARTIN DE PORRES,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA GE,HINO,GH17 4X2 DSL,LIMA,BLANCO AMARILLO,MOTOCICLETA,,
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,LA MOLINA,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA IN,BMW,120I,LIMA,BLANCO ALPINO,HATCHBACK,5,PARTICULAR
DEPENDIENTE,,MASCULINO,20,LIMA,LIMA,SAN MIGUEL,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA IN,MAZDA,CX-30,LIMA,AZUL OSCURO METALIZADO,SUV,5,
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,LOS OLIVOS,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA IN,HONDA,CIVIC,LIMA,GRIS POLISHED,SEDAN,5,
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,LA VICTORIA,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA IN,HYUNDAI,CRETA,LIMA,BLANCO,SUV,5,PARTICULAR
DEPENDIENTE,A,MASCULINO,25,LIMA,LIMA,COMAS,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA IN,SUZUKI,SWIFT,LIMA,PLATA,SEDAN,5,PARTICULAR
INDEPENDIENTE,C,MASCULINO,20,LIMA,LIMA,LINCE,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA IN,VOLKSWAGEN,GOL,LIMA,NEGRO NINJA,HATCHBACK,5,PARTICULAR
INFORMAL,B,MASCULINO,20,LIMA,LIMA,SAN MIGUEL,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA IN,VOLKSWAGEN,GOL,LIMA,GRIS QUARZO,SEDAN,5,PARTICULAR
DEPENDIENTE,B,MASCULINO,31,LIMA,LIMA,SAN JUAN DE LURIGANCHO,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA ME,MAZDA,MAZDA 2,LIMA,ROJO,HATCHBACK,5,PARTICULAR
DEPENDIENTE,A,MASCULINO,31,LIMA,LIMA,MIRAFLORES,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA ME,VOLKSWAGEN,1200,LIMA,BLANCO PERLA,SEDAN,,PARTICULAR
DEPENDIENTE,A,MASCULINO,32,LIMA,LIMA,JESUS MARIA,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA ME,RENAULT,DUSTER,LIMA,GRIS ESTRELLA,SUV,,PARTICULAR
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,SANTIAGO DE SURCO,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA ME,CHANGAN,CS35,LIMA,GRIS,SUV,5,
DEPENDIENTE,C,MASCULINO,20,LIMA,LIMA,ATE,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA ME,TOYOTA,PRIUS,LIMA,ROJO MICA METALICO,SEDAN,,PARTICULAR
DEPENDIENTE,B,MASCULINO,32,CALLAO,PROV. CONST. DEL CALLAO,LA PUNTA,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA ME,DAVEST,CUSTOM 250,LIMA,NEGRO,MOTOCICLETA,2,PARTICULAR
DEPENDIENTE,B,MASCULINO,32,LIMA,LIMA,BREÑA,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA ME,HYUNDAI,CRETA,LIMA,GRIS OSCURO,SUV,5,PARTICULAR
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,COMAS,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA QU,GEELY,GX3,LIMA,GRIS,SUV,5,PARTICULAR
DEPENDIENTE,C,FEMENINO,20,LORETO,MAYNAS,PUNCHANA,BACHILLER EN CIENCIAS CONTABLES,YAMAHA,NMAX,MAYNAS,AZUL,MOTOCICLETA,2,
DEPENDIENTE,B,MASCULINO,20,LA LIBERTAD,TRUJILLO,TRUJILLO,BACHILLER EN CIENCIAS CONTABLES,TOYOTA,CARINA,HUARAZ,VERDE,SEDAN,,PARTICULAR
DEPENDIENTE,RURAL,MASCULINO,50,PUNO,AZANGARO,SAN JUAN DE SALINAS,BACHILLER EN CIENCIAS CONTABLES,HYUNDAI,GRAND i10,MADRE DE DIOS,PLATA METALIZADO,SEDAN,5,PARTICULAR
DEPENDIENTE,RURAL,MASCULINO,20,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS CONTABLES,HERO,IGNITOR 125,JULIACA,AZUL,MOTOCICLETA,2,
DEPENDIENTE,RURAL,MASCULINO,20,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS CONTABLES,TOYOTA,VITZ B,AREQUIPA,BLANCO,SEDAN,,
DEPENDIENTE,,FEMENINO,20,LORETO,ALTO AMAZONAS,YURIMAGUAS,BACHILLER EN CIENCIAS CONTABLES,HONDA,WAVE 110,YURIMAGUAS,NEGRO,MOTOCICLETA,2,
DEPENDIENTE,B,MASCULINO,25,LORETO,MAYNAS,IQUITOS,BACHILLER EN CIENCIAS CONTABLES,MOTOKAR,GL 150,MAYNAS,AZUL PLATA,TRIMOTO PASAJEROS,,
DEPENDIENTE,C,MASCULINO,20,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS CONTABLES,SUZUKI,ESCUDO,JULIACA,AZUL,SUV,,
DEPENDIENTE,RURAL,FEMENINO,20,JUNIN,TARMA,TARMA,BACHILLER EN CIENCIAS CONTABLES,HERO,HUNK,LIMA,NEGRO,MOTOCICLETA,2,PARTICULAR
DEPENDIENTE,,MASCULINO,23,LORETO,MAYNAS,IQUITOS,BACHILLER EN CIENCIAS CONTABLES,HONDA,XR 150L,MAYNAS,ROJO,MOTOCICLETA,,
DEPENDIENTE,C,FEMENINO,20,LORETO,MAYNAS,IQUITOS,BACHILLER EN CIENCIAS CONTABLES,HONDA,ELITE,MAYNAS,ROJO,MOTOCICLETA,2,
DEPENDIENTE,RURAL,MASCULINO,20,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS CONTABLES,TOYOTA,RAV4,AREQUIPA,GRIS OSCURO METALICO,SUV,5,PARTICULAR
DEPENDIENTE,D,FEMENINO,20,PUNO,PUNO,VILQUE,BACHILLER EN CIENCIAS CONTABLES,HYUNDAI,TUCSON,LIMA,GUINDA,SUV,5,
DEPENDIENTE,D,MASCULINO,20,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS CONTABLES,MONTERO,MT200,JULIACA,ROJO,MOTOCICLETA,1,
DEPENDIENTE,C,MASCULINO,20,SAN MARTIN,BELLAVISTA,BELLAVISTA,BACHILLER EN CIENCIAS CONTABLES,CROSS,323 GLX 2003,JUANJUI,NEGRO,MOTOCICLETA,,
DEPENDIENTE,C,MASCULINO,20,LIMA,LIMA,CHORRILLOS,BACHILLER EN CIENCIAS CONTABLES,BAJAJ,PULSAR NS200,LIMA,NEGRO,MOTOCICLETA,2,PARTICULAR
DEPENDIENTE,,MASCULINO,20,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,BACHILLER EN CIENCIAS CONTABLES,YAMAHA,RAV4L X G PACKAGE,TARAPOTO,NEGRO,MOTOCICLETA,,
INDEPENDIENTE,C,FEMENINO,20,PUNO,PUNO,PUNO,BACHILLER EN CIENCIAS CONTABLES,YAMAHA,FZ FI,LIMA,NEGRO,MOTOCICLETA,,
INDEPENDIENTE,B,MASCULINO,30,SAN MARTIN,SAN MARTIN,MORALES,BACHILLER EN CIENCIAS CONTABLES,VOLKSWAGEN,CROSSFOX,TARAPOTO,PLATA,SUV,5,
INDEPENDIENTE,D,MASCULINO,38,CUSCO,CUSCO,SANTIAGO,BACHILLER EN CIENCIAS CONTABLES,MITSUBISHI,ECLIPSE,LIMA,ROJO,SEDAN,,
INDEPENDIENTE,RURAL,MASCULINO,20,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS CONTABLES,MEKANO,RAPTOR 200CC,SICUANI,ANARANJADO,MOTOCICLETA,2,
INDEPENDIENTE,,MASCULINO,25,SAN MARTIN,TOCACHE,UCHIZA,BACHILLER EN CIENCIAS CONTABLES,HONDA,XR 125L,JUANJUI,ROJO,MOTOCICLETA,2,
INDEPENDIENTE,A,MASCULINO,20,HUANUCO,LEONCIO PRADO,RUPA-RUPA,BACHILLER EN CIENCIAS CONTABLES,BAJAJ,RE AUTORICKSHAW TORITO,TARAPOTO,ROJO,TRIMOTO PASAJEROS,4,URBANO/INTERURBANO
INDEPENDIENTE,C,MASCULINO,24,SAN MARTIN,SAN MARTIN,MORALES,BACHILLER EN CIENCIAS CONTABLES,HONDA,WAVE NF100,MOYOBAMBA,NEGRO PERLADO,MOTOCICLETA,,
INDEPENDIENTE,RURAL,MASCULINO,20,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS CONTABLES,TOYOTA,YARIS,JULIACA,ROJO MICA METALICO,SEDAN,5,PARTICULAR
INDEPENDIENTE,B,FEMENINO,31,LA LIBERTAD,TRUJILLO,TRUJILLO,BACHILLER EN CIENCIAS CONTABLES,MITSUBISHI,XPANDER CROSS,TRUJILLO,BLANCO PERLA /,,7,PARTICULAR
INDEPENDIENTE,,MASCULINO,34,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS CONTABLES,RONCO,RC 110R,JULIACA,NEGRO,MOTOCICLETA,2,PARTICULAR
INDEPENDIENTE,RURAL,FEMENINO,20,HUANUCO,LEONCIO PRADO,RUPA-RUPA,BACHILLER EN CIENCIAS CONTABLES,WANXIN,WX200GY-8,TINGO MARIA,BLANCO NEGRO,MOTOCICLETA,,
INDEPENDIENTE,C,FEMENINO,23,AYACUCHO,HUAMANGA,AYACUCHO,BACHILLER EN CIENCIAS CONTABLES,TOYOTA,YARIS,LIMA,GRIS OSCURO METALICO,SEDAN,5,PARTICULAR
INDEPENDIENTE,RURAL,MASCULINO,25,PUNO,AZANGARO,AZANGARO,BACHILLER EN CIENCIAS CONTABLES,HONDA,PRELUDE 93,LIMA,GRIS,,,
INDEPENDIENTE,C,FEMENINO,20,SAN MARTIN,SAN MARTIN,TARAPOTO,BACHILLER EN CIENCIAS CONTABLES,HONDA,POLO 1.6 MEC SEDAN/2004,TARAPOTO,ROJO,MOTOCICLETA,,PARTICULAR
INDEPENDIENTE,,MASCULINO,20,PUNO,SANDIA,PATAMBUCO,BACHILLER EN CIENCIAS CONTABLES,TOYOTA,HILUX 4x4 C/D TURBO Dsl,AREQUIPA,GRIS OSCURO METALICO,,,CARGA/TRANSPORTE
INDEPENDIENTE,RURAL,MASCULINO,20,PUNO,PUNO,PUNO,BACHILLER EN CIENCIAS CONTABLES,FULL MOTORS,FM200III,JULIACA,ROJO,,,
INDEPENDIENTE,,FEMENINO,25,LORETO,ALTO AMAZONAS,YURIMAGUAS,BACHILLER EN CIENCIAS CONTABLES,HONDA,DIO,LIMA,ROJO,,2,
INDEPENDIENTE,,MASCULINO,20,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS CONTABLES,BAJAJ,PULSAR NS125,JULIACA,ROJO GRIS,MOTOCICLETA,2,PARTICULAR
INDEPENDIENTE,B,FEMENINO,30,PUNO,HUANCANE,HUANCANE,BACHILLER EN CIENCIAS CONTABLES,GEELY,GX3,AREQUIPA,BLANCO,SUV,5,PARTICULAR
INDEPENDIENTE,,FEMENINO,20,PUNO,LAMPA,CABANILLA,BACHILLER EN CIENCIAS CONTABLES,TOYOTA,HILUX 4X4 C/D M/T 3.0 STD,AREQUIPA,GRIS OSCURO METALICO,QUILLA,,CARGA/TRANSPORTE
INDEPENDIENTE,D,FEMENINO,20,HUANUCO,LEONCIO PRADO,RUPA-RUPA,BACHILLER EN CIENCIAS CONTABLES,HONDA,CB125F,MOYOBAMBA,ROJO,MOTOCICLETA,2,
INDEPENDIENTE,,FEMENINO,20,HUANUCO,LEONCIO PRADO,RUPA-RUPA,BACHILLER EN CIENCIAS CONTABLES,HAOJIN,HJ110-5,TINGO MARIA,NEGRO,MOTOCICLETA,1,
INDEPENDIENTE,,MASCULINO,20,LORETO,MAYNAS,PUNCHANA,BACHILLER EN CIENCIAS CONTABLES,YAMAHA,XTZ125,MAYNAS,NEGRO,MOTOCICLETA,2,
INDEPENDIENTE,E,FEMENINO,24,PUNO,MELGAR,LLALLI,BACHILLER EN CIENCIAS CONTABLES,MUZZATI,MZ 125,JULIACA,NEGRO,MOTOCICLETA,2,
INDEPENDIENTE,RURAL,FEMENINO,20,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS CONTABLES,HYUNDAI,MIGHTY,LIMA,BLANCO CELESTE,BARANDA,,
INDEPENDIENTE,C,FEMENINO,32,SAN MARTIN,EL DORADO,SAN JOSE DE SISA,BACHILLER EN CIENCIAS CONTABLES,YAMAHA,XTZ125,TARAPOTO,BLANCO,MOTOCICLETA,,PARTICULAR
INDEPENDIENTE,C,FEMENINO,20,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS CONTABLES,HYUNDAI,SANTA FE,JULIACA,BLANCO,SUV,7,PARTICULAR
INDEPENDIENTE,C,MASCULINO,20,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS CONTABLES,HYUNDAI,NEW TUCSON,PUNO,GRIS,SUV,5,
INDEPENDIENTE,,FEMENINO,20,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS CONTABLES,BAJAJ,RE AUTORICKSHAW TORITO,JULIACA,AZUL,TRIMOTO PASAJEROS,4,
INDEPENDIENTE,RURAL,FEMENINO,20,LORETO,ALTO AMAZONAS,YURIMAGUAS,BACHILLER EN CIENCIAS CONTABLES,HONDA,WAVE 110S,YURIMAGUAS,NEGRO,MOTOCICLETA,,PARTICULAR
INDEPENDIENTE,B,FEMENINO,20,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS CONTABLES,MITSUKO,MS150T-3C,JULIACA,MORADO NEGRO,SEDAN,,
INFORMAL,B,MASCULINO,20,PUNO,MELGAR,AYAVIRI,BACHILLER EN CIENCIAS CONTABLES,BRILLIANCE,V5,JULIACA,ROJO,SUV,5,
INFORMAL,RURAL,FEMENINO,20,PUNO,SAN ROMAN,JULIACA,BACHILLER EN CIENCIAS CONTABLES,HONDA,ELITE,PUNO,ROJO,MOTOCICLETA,2,
DEPENDIENTE,,MASCULINO,20,PIURA,SULLANA,SULLANA,BACHILLER EN CIENCIAS CONTABLES Y ADMINISTRATIVAS,HAIMA,HAIMA2,LIMA,BLANCO,HATCHBACK,5,PARTICULAR
DEPENDIENTE,C,MASCULINO,20,ANCASH,HUAYLAS,CARAZ,BACHILLER EN CIENCIAS CONTABLES Y ADMINISTRATIVAS,SUBARU,IMPREZA SPORT 2.0R 5D AWD AT XS,LIMA,PLATA METALICO,,,PARTICULAR
