SITUACION LABORAL,RANGO,SEXO,EDAD,DEPARTAMENTO,PROVINCIA,DISTRITO,PROFESION,MARCA,MODELO,PLAZA,COLOR,CARROCERIA,ASIENTOS,USO
DEPENDIENTE,A,MASCULINO,20,LIMA,LIMA,LA MOLINA,BACHILLER EN ADMINISTRACION,MITSUBISHI,ASX,LIMA,BLANCO PERLA,SUV,5,PARTICULAR
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SAN MARTIN DE PORRES,BACHILLER EN ADMINISTRACION,VOLKSWAGEN,GOL,LIMA,NEGRO NINJA,SEDAN,5,
DEPENDIENTE,C,MASCULINO,20,LIMA,LIMA,BREÑA,BACHILLER EN ADMINISTRACION,TOYOTA,YARIS,LIMA,NEGRO METALICO,SEDAN,,PARTICULAR
DEPENDIENTE,A,MASCULINO,20,LIMA,LIMA,SANTIAGO DE SURCO,BACHILLER EN ADMINISTRACION,TOYOTA,COROLLA CROSS,LIMA,BLANCO,SUV,5,PARTICULAR
DEPENDIENTE,RURAL,MASCULINO,20,SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,BACHILLER EN ADMINISTRACION,YAMAHA,YD110,TARAPOTO,GRANATE,MOTOCICLETA,,
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SAN BORJA,BACHILLER EN ADMINISTRACION,VOLVO,740 GLBA,LIMA,PLATEADO METALICO,CHASIS CABINADO,,
DEPENDIENTE,,FEMENINO,20,SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,BACHILLER EN ADMINISTRACION,HONDA,HI-LUX SURF SSR-X LIMITED,TARAPOTO,NEGRO,MOTOCICLETA,,
DEPENDIENTE,C,MASCULINO,20,AREQUIPA,ISLAY,MOLLENDO,BACHILLER EN ADMINISTRACION,CHEVROLET,AVEO,AREQUIPA,NEGRO,SEDAN,,PARTICULAR
DEPENDIENTE,C,MASCULINO,31,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,BACHILLER EN ADMINISTRACION,SUZUKI,SWIFT,LIMA,NEGRO,SEDAN,5,PARTICULAR
DEPENDIENTE,C,MASCULINO,25,LIMA,LIMA,SAN JUAN DE LURIGANCHO,BACHILLER EN ADMINISTRACION,NISSAN,VERSA,LIMA,GRIS AMATISTA,SEDAN,5,
DEPENDIENTE,A,MASCULINO,20,LIMA,LIMA,SANTIAGO DE SURCO,BACHILLER EN ADMINISTRACION,SUBARU,FORESTER,LIMA,GRIS OSCURO METALICO,SUV,5,
DEPENDIENTE,,FEMENINO,25,LIMA,HUARAL,HUARAL,BACHILLER EN ADMINISTRACION,TELLO MOTORS,250GY,LIMA,NEGRO BLANCO,MOTOCICLETA,2,PARTICULAR
DEPENDIENTE,,MASCULINO,20,AREQUIPA,AREQUIPA,MARIANO MELGAR,BACHILLER EN ADMINISTRACION,ASIA,SPEED GP2,AREQUIPA,NEGRO,MOTOCICLETA,1,
DEPENDIENTE,A,MASCULINO,20,LAMBAYEQUE,CHICLAYO,CHICLAYO,BACHILLER EN ADMINISTRACION,SUZUKI,ALTO,CHICLAYO,GUINDA,SUV,5,PARTICULAR
DEPENDIENTE,B,MASCULINO,20,LIMA,BARRANCA,BARRANCA,BACHILLER EN ADMINISTRACION,TOYOTA,HILUX,LIMA,PLATA METALICO,PICK UP,5,CARGA/TRANSPORTE
DEPENDIENTE,C,MASCULINO,30,SAN MARTIN,SAN MARTIN,MORALES,BACHILLER EN ADMINISTRACION,HONDA,CB150 INVICTA,TARAPOTO,ROJO,MOTOCICLETA,2,
DEPENDIENTE,B,FEMENINO,23,AYACUCHO,HUAMANGA,AYACUCHO,BACHILLER EN ADMINISTRACION,ITALIKA,DM150,LIMA,AMARILLO,MOTOCICLETA,2,
DEPENDIENTE,C,FEMENINO,20,LAMBAYEQUE,CHICLAYO,CHICLAYO,BACHILLER EN ADMINISTRACION,SONIK,K250,CHICLAYO,ROJO,TRIMOTO CARGA,1,
DEPENDIENTE,C,MASCULINO,20,LIMA,LIMA,PUENTE PIEDRA,BACHILLER EN ADMINISTRACION,RONCO,TR 125K,LIMA,NEGRO,MOTOCICLETA,2,
DEPENDIENTE,B,FEMENINO,20,LAMBAYEQUE,CHICLAYO,CHICLAYO,BACHILLER EN ADMINISTRACION,MG,MG ZX,CHICLAYO,ROJO,SUV,5,
DEPENDIENTE,RURAL,MASCULINO,20,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,BACHILLER EN ADMINISTRACION,WANXIN,WX150-A,CHICLAYO,NEGRO,MOTOCICLETA,2,
DEPENDIENTE,D,FEMENINO,20,LIMA,LIMA,LURIN,BACHILLER EN ADMINISTRACION,HYUNDAI,HD35,LIMA,BLANCO ROJO,CHASIS CABINADO,3,CARGA/TRANSPORTE
DEPENDIENTE,B,FEMENINO,20,CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,BACHILLER EN ADMINISTRACION,HYUNDAI,i20,LIMA,BLANCO,HATCHBACK,5,PARTICULAR
DEPENDIENTE,C,FEMENINO,31,LIMA,HUAURA,HUACHO,BACHILLER EN ADMINISTRACION,YANSUMI,YS300R3CP-P,LIMA,ROJO,TRIMOTO CARGA,3,
DEPENDIENTE,C,FEMENINO,20,LIMA,LIMA,ATE,BACHILLER EN ADMINISTRACION,SUZUKI,BALENO,LIMA,BLANCO PERLA,HATCHBACK,5,PARTICULAR
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SAN JUAN DE LURIGANCHO,BACHILLER EN ADMINISTRACION,JAC,S3,LIMA,PLATA,SUV,5,PARTICULAR
DEPENDIENTE,C,MASCULINO,20,AREQUIPA,AREQUIPA,PAUCARPATA,BACHILLER EN ADMINISTRACION,HYUNDAI,ACCENT,AREQUIPA,BLANCO,SEDAN,5,URBANO/INTERURBANO
DEPENDIENTE,D,MASCULINO,20,JUNIN,CHUPACA,CHUPACA,BACHILLER EN ADMINISTRACION,NISSAN,NAVARA,HUANCAYO,NEGRO,PICK UP,,PARTICULAR
DEPENDIENTE,RURAL,FEMENINO,20,CAJAMARCA,CAJAMARCA,CAJAMARCA,BACHILLER EN ADMINISTRACION,JCH,JCH150T-28,CAJAMARCA,GRIS,MOTOCICLETA,2,
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SANTIAGO DE SURCO,BACHILLER EN ADMINISTRACION,HYUNDAI,VERNA,LIMA,BLANCO,SEDAN,5,PARTICULAR
DEPENDIENTE,A,MASCULINO,25,LIMA,LIMA,SANTIAGO DE SURCO,BACHILLER EN ADMINISTRACION,AUDI,Q3 SPORTBACK,LIMA,NEGRO MYTHOS,SUV,5,
DEPENDIENTE,B,MASCULINO,20,JUNIN,JAUJA,ACOLLA,BACHILLER EN ADMINISTRACION,NISSAN,MARCH,HUANCAYO,PLATA,HATCHBACK,,PARTICULAR
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,EL AGUSTINO,BACHILLER EN ADMINISTRACION,MAXUS,T60,LIMA,BLANCO,PICK UP,5,
DEPENDIENTE,,MASCULINO,20,CUSCO,CUSCO,SAN JERONIMO,BACHILLER EN ADMINISTRACION,SSENDA,SS250-5A,CUSCO,NEGRO,MOTOCICLETA,,
DEPENDIENTE,C,FEMENINO,31,LIMA,HUAURA,HUACHO,BACHILLER EN ADMINISTRACION,DAEWOO,TICO,LIMA,PLATEADO METALICO,HATCHBACK,,PARTICULAR
DEPENDIENTE,B,MASCULINO,20,ICA,ICA,ICA,BACHILLER EN ADMINISTRACION,HYUNDAI,SANTA FE,AREQUIPA,GRIS,SUV,7,
DEPENDIENTE,B,MASCULINO,31,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,BACHILLER EN ADMINISTRACION,LIFAN,LF150GY-4,LIMA,ROJO,MOTOCICLETA,2,PARTICULAR
DEPENDIENTE,B,MASCULINO,20,PIURA,PIURA,PIURA,BACHILLER EN ADMINISTRACION,CHEVROLET,CAPTIVA,CHICLAYO,NEGRO METALICO STAR,SUV,5,PARTICULAR
