SITUACION LABORAL,RANGO,SEXO,EDAD,DEPARTAMENTO,PROVINCIA,DISTRITO,PROFESION,MARCA,MODELO,PLAZA,COLOR,CARROCERIA,ASIENTOS,USO,COT
DEPENDIENTE,B,MASCULINO,20,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,BACHILLER EN CIENCIAS DE LA COMUNICACION,CHEVROLET,SPECTRUM,CHICLAYO,AZUL,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,24,PIURA,PIURA,PIURA,BACHILLER EN CIENCIAS DE LA COMUNICACION,BRILLIANCE,V3,LIMA,PLATA,SUV,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LA LIBERTAD,TRUJILLO,TRUJILLO,BACHILLER EN CIENCIAS DE LA COMUNICACION,TOYOTA,YARIS,AREQUIPA,BLANCO,HATCHBACK,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,SAN JUAN DE MIRAFLORES,BACHILLER EN CIENCIAS DE LA COMUNICACION,KIA,SPORTAGE,LIMA,PLATA GRISACEO,SUV,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,LURIGANCHO,BACHILLER EN CIENCIAS DE LA EDUCACION,MAZDA,CX-5,LIMA,ROJO,SUV,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,30,ICA,ICA,ICA,BACHILLER EN CIENCIAS DE LA EDUCACION,FORD,EDGE,AREQUIPA,AZUL,SUV,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,EL AGUSTINO,BACHILLER EN CIENCIAS DE LA EDUCACION FUERZA MOTRI,TOYOTA,ETIOS,LIMA,PLATA METALICO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,30,LIMA,LIMA,SAN MIGUEL,BACHILLER EN CIENCIAS DE LA INGENIERIA CIVIL,TOYOTA,COROLLA CROSS,LIMA,PLATA METALICO,SUV,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SAN JUAN DE MIRAFLORES,BACHILLER EN CIENCIAS DEL DEPORTE,PEUGEOT,207 COMPACT,LIMA,ROJO ADEN,CONVERTIBLE,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,20,LA LIBERTAD,TRUJILLO,LA ESPERANZA,BACHILLER EN CIENCIAS ECONOMICAS,NISSAN,LAUREL,TRUJILLO,BLANCO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,SANTA ANITA,BACHILLER EN CIENCIAS ECONOMICAS,KIA,SPORTAGE,LIMA,NEGRO,SUV,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,32,LIMA,LIMA,LA MOLINA,BACHILLER EN CIENCIAS ECONOMICAS,SUZUKI,SX4,LIMA,PLATA,HATCHBACK,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,INDEPENDENCIA,BACHILLER EN CIENCIAS ECONOMICAS,TOYOTA,YARIS,LIMA,GRIS OSCURO METALICO,HATCHBACK,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,BACHILLER EN CIENCIAS ECONOMICAS,MAZDA,MAZDA 2,LIMA,GRIS,HATCHBACK,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,30,LA LIBERTAD,TRUJILLO,TRUJILLO,BACHILLER EN CIENCIAS ECONOMICAS,TOYOTA,YARIS,LIMA,AZUL METALICO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,31,LIMA,LIMA,JESUS MARIA,BACHILLER EN CIENCIAS FARMACEUTICAS Y BIOQUIMICA,KIA,SORENTO,LIMA,AZUL GRAVEDAD,SUV,7,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,33,LIMA,LIMA,INDEPENDENCIA,BACHILLER EN CIENCIAS FINANCIERAS Y CONTABLES,SUZUKI,SWIFT,LIMA,ANARANJADO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,CHORRILLOS,BACHILLER EN CIENCIAS FINANCIERAS Y CONTABLES,SUZUKI,BALENO,LIMA,BLANCO PERLA,HATCHBACK,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,BACHILLER EN CIENCIAS FINANCIERAS Y CONTABLES,SUZUKI,BALENO,LIMA,BLANCO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,BACHILLER EN CIENCIAS INGENIERIA DE SISTEMAS,HYUNDAI,ACCENT,LIMA,NEGRO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SAN JUAN DE LURIGANCHO,BACHILLER EN CIENCIAS INGENIERIA ECONOMICA,MAZDA,MAZDA 2,LIMA,PLATA,HATCHBACK,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,31,CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,BACHILLER EN CIENCIAS PESQUERAS,RENAULT,LOGAN,LIMA,NEGRO NACARADO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,31,LA LIBERTAD,TRUJILLO,TRUJILLO,BACHILLER EN CIENCIAS SOCIALES,RENAULT,DUSTER,LIMA,GRIS BEIGE,SUV,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,ICA,ICA,ICA,BACHILLER EN CIENCIAS SOCIALES,TOYOTA,YARIS,LIMA,ROJO MICA METALICO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,LIMA,BACHILLER EN CIENCIAS SOCIALES CON MENCION EN ECON,KIA,SPORTAGE,LIMA,PLATA MINERAL,SUV,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,31,LIMA,LIMA,PUNTA HERMOSA,BACHILLER EN CIENCIAS Y ARTES DE LA COMUNICACION C,KIA,CERATO,LIMA,PLATA TITANIO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SANTA ANITA,BACHILLER EN CIENCIAS Y ARTES DE LA COMUNICACION C,NISSAN,BAYALGAB13SWAD-XDA,LIMA,VERDE GRIS PERLADO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,ICA,ICA,ICA,BACHILLER EN CIENCIAS ZOOTECNIA,RAM,700,LIMA,GRIS,PICK UP,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,30,LAMBAYEQUE,CHICLAYO,CHICLAYO,BACHILLER EN COMPUTACION E INFORMATICA,HYUNDAI,GRAND i10,CHICLAYO,BLANCO,SEDAN,5,PARTICULAR,1
